City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
293,yako,12.9667,-2.2667,295.71,14,95,3.73,BF,1733436062
294,novocheboksarsk,56.111,47.4776,268.46,80,75,3.0,RU,1733436063
295,pundong,-7.9522,110.3486,297.27,92,100,1.88,ID,1733436064
296,jayapura,-2.5333,140.7,298.81,91,95,1.87,ID,1733436066
297,saint-francois,46.4154,3.9054,280.75,74,100,3.6,FR,1733436067
298,troitsko-pechorsk,62.7084,56.1964,263.37,91,19,2.66,RU,1733436068
299,alice springs,-23.7,133.8833,299.9,65,34,0.0,AU,1733436070
300,port alberni,49.2413,-124.8028,278.64,92,100,0.45,CA,1733436071
301,iskateley,67.6803,53.1512,269.94,80,100,9.49,RU,1733436072
302,weno,7.4515,151.8468,299.12,94,100,4.63,FM,1733436073
303,hastings,50.8552,0.5729,282.03,71,89,13.12,GB,1733436075
304,pisco,-13.7,-76.2167,294.83,68,0,10.29,PE,1733436076
305,livingston,55.9029,-3.5226,277.79,78,0,3.09,GB,1733436077
306,wau,7.7029,27.9953,297.93,27,27,1.27,SS,1733436079
307,sola,-13.8833,167.55,300.52,83,100,0.0,VU,1733436080
308,kuching,1.55,110.3333,296.05,92,20,1.54,MY,1733436081
309,khandud,36.9513,72.318,254.87,57,0,1.02,AF,1733436082
310,tromso,69.6496,18.957,271.16,69,0,9.77,NO,1733436084
311,puerto carreno,6.189,-67.4859,307.14,46,20,6.17,CO,1733436085
312,napanee,44.2501,-76.9494,271.8,79,88,7.87,CA,1733436086
313,la sarre,48.8002,-79.1996,264.73,87,100,7.88,CA,1733436088
314,zaraza,9.3503,-65.3245,301.62,53,83,4.73,VE,1733436089
315,ochakiv,46.6128,31.5498,275.43,82,47,2.25,UA,1733436090
316,chavusy,53.8075,30.9712,270.76,95,100,4.08,BY,1733436092
317,mount isa,-20.7333,139.5,301.02,78,20,3.6,AU,1733436093
318,nagqu,31.5,92.0,263.53,19,0,1.36,CN,1733436094
319,nyrob,60.733,56.7202,261.1,99,99,1.08,RU,1733436095
320,yichun,47.7,128.9,246.63,100,63,1.76,CN,1733436096
321,boa vista,2.8197,-60.6733,304.14,45,0,4.63,BR,1733436098
322,cambria,35.5641,-121.0808,290.96,71,17,1.79,US,1733436099
323,jurilovca,44.7667,28.8667,278.81,77,100,4.55,RO,1733436100
